📋 BROADCAST REPORT
==================================================

✅ SUCCESSFULLY SENT: 4
--------------------------------------------------
SUCCESS | USER | 6646786564 | ⏤͟͟͞͞𝗖𝘆𝗯𝗲𝗿 𝗜𝗻𝘃𝗲𝘀𝘁𝗶𝗴𝗮𝘁𝗼𝗿
FAILED | USER | 7142676118 | Error: Could not find the input entity for PeerUser(user_id=7142676118) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7166241517 | Error: Could not find the input entity for PeerUser(user_id=7166241517) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7166967787 | Error: Could not find the input entity for PeerUser(user_id=7166967787) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7182537363 | Error: Could not find the input entity for PeerUser(user_id=7182537363) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7253844461 | Error: Could not find the input entity for PeerUser(user_id=7253844461) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7258348706 | Error: Could not find the input entity for PeerUser(user_id=7258348706) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7261986208 | Error: Could not find the input entity for PeerUser(user_id=7261986208) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7288661086 | Error: Could not find the input entity for PeerUser(user_id=7288661086) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7317588272 | Error: Could not find the input entity for PeerUser(user_id=7317588272) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7336587760 | Error: Could not find the input entity for PeerUser(user_id=7336587760) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7361964560 | Error: Could not find the input entity for PeerUser(user_id=7361964560) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7367614773 | Error: Could not find the input entity for PeerUser(user_id=7367614773) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7374507098 | Error: Could not find the input entity for PeerUser(user_id=7374507098) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7399041930 | Error: Could not find the input entity for PeerUser(user_id=7399041930) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7403099394 | Error: Could not find the input entity for PeerUser(user_id=7403099394) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7405948763 | Error: Could not find the input entity for PeerUser(user_id=7405948763) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7416011332 | Error: Could not find the input entity for PeerUser(user_id=7416011332) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7430586972 | Error: Could not find the input entity for PeerUser(user_id=7430586972) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7465330836 | Error: Could not find the input entity for PeerUser(user_id=7465330836) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
